"Problem","Package","File","Line","Priority","Description","Rule set","Rule"
"1","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractAdvancedSearchPanel.java","3","31","Avoid excessively long variable names like m_taskPaneContainer","Naming Rules","LongVariable"
"2","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractAdvancedSearchPanel.java","3","31","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"3","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractAdvancedSearchPanel.java","3","31","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"4","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractAdvancedSearchPanel.java","3","34","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"5","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractAdvancedSearchPanel.java","3","34","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"6","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractAdvancedSearchPanel.java","3","42","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"7","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractAdvancedSearchPanel.java","3","42","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"8","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractAdvancedSearchPanel.java","3","43","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"9","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractAdvancedSearchPanel.java","3","43","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"10","edu.wustl.cab2b.client.ui","source/client/main/edu/wustl/cab2b/client/ui/AbstractAdvancedSearchPanel.java","3","44","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
